Date_SingleModel,Home_SingleModel,Away_SingleModel,ActualWinner_SingleModel,PredictedWinner_SingleModel,ActualSpread_SingleModel,PredictedSpread_SingleModel,SpreadError_SingleModel,Correct_SingleModel,HomePoints_SingleModel,AwayPoints_SingleModel,PredictedHomePoints_SingleModel,PredictedAwayPoints_SingleModel,Date_weekBatchRetrain,Home_weekBatchRetrain,Away_weekBatchRetrain,ActualWinner_weekBatchRetrain,PredictedWinner_weekBatchRetrain,ActualSpread_weekBatchRetrain,PredictedSpread_weekBatchRetrain,SpreadError_weekBatchRetrain,Correct_weekBatchRetrain,HomePoints_weekBatchRetrain,AwayPoints_weekBatchRetrain,PredictedHomePoints_weekBatchRetrain,PredictedAwayPoints_weekBatchRetrain
2024-12-12,New Orleans Pelicans,Sacramento Kings,Sacramento Kings,Sacramento Kings,2.0,7.3,5.3,True,109.0,111.0,106.6,113.9,2024-12-12,New Orleans Pelicans,Sacramento Kings,Sacramento Kings,Sacramento Kings,2.0,9.3,7.300000000000001,True,109.0,111.0,108.6,118.0
2024-12-11,Houston Rockets,Golden State Warriors,Houston Rockets,Houston Rockets,1.0,6.0,5.0,True,91.0,90.0,98.7,92.7,2024-12-11,Houston Rockets,Golden State Warriors,Houston Rockets,Houston Rockets,1.0,6.2,5.2,True,91.0,90.0,108.2,102.0
2024-12-11,New York Knicks,Atlanta Hawks,Atlanta Hawks,New York Knicks,8.0,4.6,3.4000000000000004,False,100.0,108.0,116.4,111.8,2024-12-11,New York Knicks,Atlanta Hawks,Atlanta Hawks,New York Knicks,8.0,4.5,3.5,False,100.0,108.0,121.2,116.6
2024-12-10,Oklahoma City Thunder,Dallas Mavericks,Oklahoma City Thunder,Oklahoma City Thunder,14.0,14.9,0.9000000000000004,True,118.0,104.0,124.4,109.5,2024-12-10,Oklahoma City Thunder,Dallas Mavericks,Oklahoma City Thunder,Oklahoma City Thunder,14.0,2.8,11.2,True,118.0,104.0,125.5,122.7
2024-12-10,Milwaukee Bucks,Orlando Magic,Milwaukee Bucks,Milwaukee Bucks,5.0,3.9,1.1,True,114.0,109.0,109.5,105.6,2024-12-10,Milwaukee Bucks,Orlando Magic,Milwaukee Bucks,Milwaukee Bucks,5.0,0.7,4.3,True,114.0,109.0,104.7,104.0
2024-12-09,Toronto Raptors,New York Knicks,New York Knicks,Toronto Raptors,5.0,2.7,2.3,False,108.0,113.0,118.9,116.2,2024-12-09,Toronto Raptors,New York Knicks,New York Knicks,Toronto Raptors,5.0,0.8,4.2,False,108.0,113.0,119.8,119.0
2024-12-08,Orlando Magic,Phoenix Suns,Orlando Magic,Orlando Magic,5.0,11.0,6.0,True,115.0,110.0,114.4,103.4,2024-12-08,Orlando Magic,Phoenix Suns,Orlando Magic,Orlando Magic,5.0,10.5,5.5,True,115.0,110.0,119.2,108.7
2024-12-08,Los Angeles Lakers,Portland Trail Blazers,Los Angeles Lakers,Los Angeles Lakers,9.0,7.3,1.7000000000000002,True,107.0,98.0,111.8,104.5,2024-12-08,Los Angeles Lakers,Portland Trail Blazers,Los Angeles Lakers,Portland Trail Blazers,9.0,0.7,8.3,False,107.0,98.0,109.9,110.6
2024-12-08,Sacramento Kings,Utah Jazz,Sacramento Kings,Sacramento Kings,44.0,19.6,24.4,True,141.0,97.0,127.1,107.5,2024-12-08,Sacramento Kings,Utah Jazz,Sacramento Kings,Sacramento Kings,44.0,6.5,37.5,True,141.0,97.0,123.8,117.3
2024-12-08,Los Angeles Clippers,Houston Rockets,Houston Rockets,Houston Rockets,11.0,2.0,9.0,True,106.0,117.0,107.2,109.1,2024-12-08,Los Angeles Clippers,Houston Rockets,Houston Rockets,Houston Rockets,11.0,1.3,9.7,True,106.0,117.0,110.2,111.5
2024-12-08,Golden State Warriors,Minnesota Timberwolves,Golden State Warriors,Minnesota Timberwolves,8.0,6.0,2.0,False,114.0,106.0,101.9,107.9,2024-12-08,Golden State Warriors,Minnesota Timberwolves,Golden State Warriors,Minnesota Timberwolves,8.0,0.5,7.5,False,114.0,106.0,102.4,102.8
2024-12-08,Washington Wizards,Memphis Grizzlies,Memphis Grizzlies,Memphis Grizzlies,28.0,23.1,4.899999999999999,True,112.0,140.0,111.2,134.3,2024-12-08,Washington Wizards,Memphis Grizzlies,Memphis Grizzlies,Memphis Grizzlies,28.0,21.5,6.5,True,112.0,140.0,101.6,123.1
